Stock,Market cap (in Rs Cr.),Current price,PE Ratio,52 Week High,% Below 52 week high,52 Week Low,% Above 52 Week low,Yesterday Closing Price,% Change,,,,,,,,,,,,,,,
APL Apollo,31477.05,1136,54.9,1193.85,4.85%,771,47.34%,1127.95,0.71%,,,,,,,,,,,,,,,
Crompton Greves,21451.60,337.35,36.77,451.95,25.36%,312,8.13%,338,-0.19%,,,,,,,,,,,,,,,
Supreme Industries,31369.92,2461,36.12,2607.65,5.62%,1666.25,47.70%,2452.7,0.34%,,,,,,,,,,,,,,,
Bayer Cropscience,21050.02,4669.05,29.86,5667.75,17.62%,4218.05,10.69%,4647.55,0.46%,,,,,,,,,,,,,,,
Sumitomo Chemicals,24637.83,493.2,48.9,540.8,8.80%,351.5,40.31%,487.95,1.08%,,,,,,,,,,,,,,,
Dixon Technologies,21650.11,3635,93.72,5444.1,33.23%,3180.55,14.29%,3651.05,-0.44%,,,,,,,,,,,,,,,
Tata Chemical,24851.47,975.8,12.65,1214.65,19.66%,773.9,26.09%,972.55,0.33%,,,,,,,,,,,,,,,
Vinita Organics,20604.20,2000,51.19,2377,15.86%,1674.2,19.46%,2014.85,-0.74%,,,,,,,,,,,,,,,
Whirlpool,18318.37,1441.55,70.52,1917,24.80%,1365.1,5.60%,1480.7,-2.64%,,,,,,,,,,,,,,,
IDFC First,37544.89,60.2,,64.3,6.38%,NA,#VALUE!,59.6,1.01%,,,,,,,,,,,,,,,
Endurance Technology,19679.44,1398.5,42.23,1736.15,19.45%,1047.2,33.55%,1401.15,-0.19%,,,,,,,,,,,,,,,
Pfizer,19278.55,4224.9,31.52,4946.1,14.58%,4056,4.16%,4254,-0.68%,,,,,,,,,,,,,,,
Trident,16896.24,33.75,30.44,70.9,52.40%,30.45,10.84%,33.65,0.30%,,,,,,,,,,,,,,,
Navin Flourine,20217.23,4080.6,73.24,4847.35,15.82%,3361.45,21.39%,4127.1,-1.13%,,,,,,,,,,,,,,,
LIC Housing Finance,22159.27,402.9,6.85,443.5,9.15%,291.75,38.10%,400.2,0.67%,,,,,,,,,,,,,,,
Dr Lal Path Lab,17986.01,2174.05,72.77,3769.95,42.33%,1805.55,20.41%,2171.85,0.10%,,,,,,,,,,,,,,,
IEX,12685.77,141.55,41.14,271.95,47.95%,129.25,9.52%,141.4,0.11%,,,,,,,,,,,,,,,
clean science,15538.83,1463.5,61.9,2624,44.23%,1410.1,3.79%,1471.05,-0.51%,,,,,,,,,,,,,,,
Fine Organics,17277.20,5630,32.19,7328.75,23.18%,3457.1,62.85%,5672.25,-0.74%,,,,,,,,,,,,,,,
Alembic Pharma,10913.18,555,42.84,822.8,32.55%,540,2.78%,557.4,-0.43%,,,,,,,,,,,,,,,
Affle India,13659.00,1024,55.83,1511,32.23%,871.55,17.49%,1035.55,-1.12%,,,,,,,,,,,,,,,
Tanla Platform,9951.42,731.9,19.49,2094.4,65.05%,584.8,25.15%,724.3,1.05%,,,,,,,,,,,,,,,
KPIT,18827.95,696.3,59.82,764.25,8.89%,440,58.25%,692.45,0.56%,,,,,,,,,,,,,,,
Sheela Form,12260.10,1260,57.79,2027,37.84%,1204.15,4.64%,1251.3,0.70%,,,,,,,,,,,,,,,
Indiamart Intermesh,13709.81,4477,56.62,6898.75,35.10%,3676,21.79%,4446.55,0.68%,,,,,,,,,,,,,,,
Happiest Mind,12642.15,885.05,59.08,1359.85,34.92%,785.55,12.67%,884.65,0.05%,,,,,,,,,,,,,,,
CDSL,11261.44,1077.9,37.61,1654,34.83%,1015,6.20%,1078.65,-0.07%,,,,,,,,,,,,,,,
Exide Battery,15554.99,182.85,3.39,194.2,5.84%,130.25,40.38%,182.65,0.11%,,,,,,,,,,,,,,,
Century Plyboard,11658.53,523.9,31.54,749,30.05%,484.7,8.09%,517.65,1.21%,,,,,,,,,,,,,,,
TTK Prestige,10943.58,789.5,35.54,1049.9,24.80%,744.7,6.02%,794.05,-0.57%,,,,,,,,,,,,,,,
CAMS,11180.95,2274,38.87,2971.5,23.47%,2037.15,11.63%,2235.75,1.71%,,,,,,,,,,,,,,,
Radico Khaitan,14279.03,1068, ,1215.4,12.13%,731.35,46.03%,1066.2,0.17%,,,,,,,,,,,,,,,
KEI Industries,12966.07,1436.05,30.59,1662.45,13.62%,905.2,58.64%,1435.2,0.06%,,,,,,,,,,,,,,,
Galaxy Surfactant,8341.14,2358,25.47,3447.55,31.60%,2310.1,2.07%,2340.5,0.75%,,,,,,,,,,,,,,,
Birlasoft,8026.48,293.1,,579.95,49.46%,262.3,11.74%,289.1,1.38%,,,,,,,,,,,,,,,
Balaji Amine,8293.18,2562.7,20.06,3841.85,33.30%,2530,1.29%,2557.4,0.21%,,,,,,,,,,,,,,,
Mediplus,7486.15,629,188.97,1343,53.16%,570,10.35%,625.55,0.55%,,,,,,,,,,,,,,,
Finolex Industries,10644.74,173,15.85,204.5,15.40%,128,35.16%,170.9,1.23%,,,,,,,,,,,,,,,
Borosil Renewable,5686.24,499.35,39.43,833,40.05%,468,6.70%,494.9,0.90%,,,,,,,,,,,,,,,
UTI AMC,10284.29,807.2,21.59,1096.05,26.35%,595,35.66%,812.9,-0.70%,,,,,,,,,,,,,,,
Amara Raja Batter,9847.33,576.5,17.05,668.15,13.72%,438.05,31.61%,590.95,-2.45%,,,,,,,,,,,,,,,
Route Mobile,7415.83,1190.8,32.12,1919,37.95%,1052.6,13.13%,1197.6,-0.57%,,,,,,,,,,,,,,,
Laxmi Orgamic,7672.43,289.4,36.41,501.6,42.30%,274.35,5.49%,289.25,0.05%,,,,,,,,,,,,,,,
HFCL,10126.79,73.6,36.15,101.35,27.38%,51.55,42.77%,72.4,1.66%,,,,,,,,,,,,,,,
Mahangar Gas,8445.01,853.05,15.67,925,7.78%,666.35,28.02%,862.5,-1.10%,,,,,,,,,,,,,,,
Mannapuran Finance,10287.93,121.55,8.7,173.75,30.04%,81.5,49.14%,120.15,1.17%,,,,,,,,,,,,,,,
Amber Enterprise,6297.53,1870,49.07,4023.65,53.52%,1844.15,1.40%,1876,-0.32%,,,,,,,,,,,,,,,
Poly Medicure Ltd,8584.67,891.5,61.12,1044.4,14.64%,652.3,36.67%,897.9,-0.71%,,,,,,,,,,,,,,,
Polyplex Corporation,4868.97,1555,7.36,2870,45.82%,1463.3,6.27%,1559.1,-0.26%,,,,,,,,,,,,,,,
Sonata Software,8104.16,582,19.25,694.5,16.20%,457.58,27.19%,574.4,1.32%,,,,,,,,,,,,,,,
Astrazeneca,8815.82,3515.05,95.35,3619.7,2.89%,2437.75,44.19%,3443.4,2.08%,,,,,,,,,,,,,,,
Latent View,7452.99,367.25,49.25,617.4,40.52%,305.25,20.31%,368.4,-0.31%,,,,,,,,,,,,,,,
Praj Industries,6488.72,353,35.19,461.5,23.51%,289.05,22.12%,355.1,-0.59%,,,,,,,,,,,,,,,
ICICI Bank,7451.47,873.25,20.88,958,8.85%,642,36.02%,861.2,1.40%,,,,,,,,,,,,,,,
Granules India,7705.43,318.6,16.36,381.25,16.43%,227,40.35%,318.15,0.14%,,,,,,,,,,,,,,,
